country,title,text
AT,Inform,"https://www.linkedin.com/company/global-blue/life

Information Technology Security Manager

Global Blue <https://www.linkedin.com/company/global-blue/life/> Vienna,
Austria 1 week ago 8 applicants

Apply
Save Save Information Technology Security Manager at Global Blue

Youâve saved this job in your Jobs Tracker.

See saved jobs <https://www.linkedin.com/my-items/saved-jobs/>


      About the job

*IT Security Manager  *

/Business Unit/Function: Technology â Information Security/

Reports to:                         AVP IT Security


*Nature and aim of the position*

The IT Security Manager will provide security services as part of the IT
Security team. The team reviews and covers a wide range of products,
initiatives and projects in respect to security, compliance, governance
and risk management in close collaboration and with core infrastructure,
product and processing teams in the Global Blue group.


*Main duties and responsibilities*

  * Support the internal stakeholders in delivering secure IT systems
  * Participate in and contribute to the corporate SOX and PCI DSS
    compliance programs by
  * governing and executing internal IT controls, evaluation of the
    design and operational effectiveness, determining the exposure to
    risk and developing remediation strategies
  * performing regular internal IT audit validation and definition of
    improvements for short fallings
  * review, evaluate, and test application security controls
  * provide recommendations and guidance on identified security and/or
    control risks
  * Support the team in day-2-day security activities
  * participate in the change management process
  * test and identify network and system vulnerabilities incl.
    coordination, tracking and remediation of  identified weaknesses
  * operate and improve the SPLUNK security toolset in regards to
    security relevant events
  * Develop a strong understanding of business and system processes
  * Communicate complex technical issues in simplified terms to the
    relevant staff
  * Document from time to time system architecture and advise on
    security best practice


*Reporting and collaboration*

The holder of the position will report solid-line to the AVP IT Security

  * The holder of the position will work within the IT Security team
  * The holder of the position will closely collaborate with various IT
    departments such as I&O, Product Management, Internal Audit or Finance
  * The position has a external visibility within the GB group


*Key Competencies*

  * Strong experience in IT general controls environment
  * Some experience in a SOX, ISO or PCI DSS compliance organization
  * At least one of the above certified is a strong plus
  * Clear understanding of IT audit methodologies
  * Strong attention to details with an analytical mind and outstanding
    problem-solving skill and attitude
  * Ability to work under pressure in a fast-paced environment
  * Experience in financial service and/or payment companies preferred
  * Experience of engaging with stakeholders at all levels (incl.
    C-level) of seniority to help them understand their business
    propositions security and risk profile that needs to be addressed


*Preferable skills and competencies*

  * Industry proofed knowledge and experience on IT audit
  * Strong and profound knowledge on technology products and its functions
  * ITIL certified
  * PCI DSS Professional (or ISO27k series) preferred
  * or the willingness to get trained on fast track on one of the both
  * Ability to interface with business IT project teams, utilizing
    consulting and negotiating skills
  * Ability to undertake and complete tasks independently, meet
    schedules and delivery timelines, and to move swiftly from concepts
    and theory to action
  * Written communication skills for use in preparing formal
    documentation, policies, standards and training material
  * Verbal skills that include the ability to clearly articulate
    thoughts and to deliver presentation and training to all levels
  * Fluent English language - both verbal and written


*Education and qualifications*

  * Bachelorâs Degree or higher in Computer Science, Engineering,
    Economics or equivalent


*Experience*

  * 3+ years of experience
  * Preferable in a multinational environment


*Our Offer*

  * International environment, inspiring and highly motivated colleagues
    with more than 35 nationalities where English is the official
    working language
  * State of the art office environment well connected to the public
    transportation system
  * Flexible working time and distance/remote work to protect health of
    our employees and their families during the pandemic situation.
  * Other benefits: well-being including discount for gym, meal
    vouchers, language courses, company doctor etc.


Global Blue guarantees a competitive and performance-related salary
depending on your professional and personal qualifications. As required
by Austrian federal law we hereby state, that the guaranteed legal
annual Min. compensation according to the Austrian collective agreement
amounts to 36530,06 EUR, however, the total compensation is a subject of
individual agreement.


      Job Details


      Seniority Level

Mid-Senior level


      Industry

  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology

See less


    Pay range unavailable

Salary information is not available at the moment.

Are you interested in salary information for this job?
Yes

/
No


        See how you rank

  *
    Premium Member
  *
    Premium Member
  *
    Premium Member

Premium Member

Millions of members use Premium

Try Premium for free
<https://www.linkedin.com/premium/products/?channel=JOBS&destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F2540581439%2F%3FalternateChannel%3Dsearch%26refId%3DiwEBqfx0VsJ1y%252BBbpnJwGw%253D%253D%26trackingId%3D6rJIvjbwvTeiNUIBzkKnag%253D%253D%26showPremiumWelcomeBanner%3Dtrue&family=JSS&premiumFeatureType=APPLICANT_INSIGHTS&upsellOrderOrigin=premium_job_details_obfuscated_applicant_insights_upsell>


    Competitive intelligence about other applicants


      Top applicants

% Hidden percentage
Youâre in the top % of applicants based on your LinkedIn profile Youâre
in the top hidden percentage of a hidden number applicants based on your
LinkedIn profile

Match based on your LinkedIn profile:


      Top skills

You have 0 out of 10 top skills among all other applicants

  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill

Highlights

  *
    AT&T

    5 people at Global Blue also worked at AT&T

    <https://www.linkedin.com/search/results/people/?facetCurrentCompany=788235&facetPastCompany=1052>

  *
    Brno University of Technology

    3 people at Global Blue also studied at Brno University of Technology

    <https://www.linkedin.com/search/results/people/?facetCurrentCompany=788235&facetSchool=11718>



      About the company

Global Blue company logo
<https://www.linkedin.com/company/global-blue/life/>
Global Blue <https://www.linkedin.com/company/global-blue/life/>
24,203 followers

Follow

Financial Services 1,001-5,000 employees 1,124 on LinkedIn

Global Blue pioneered the concept of Tax Free Shopping 40 years ago.
Through continuous innovation, it has become the leading strategic
technology and payments partner, empowering merchants to capture the
growth of international shoppers.

The Group connects all stakeholders involved in the international
shopping ecosystem, helping:
- More than 29 million international shoppers
- More than 300,000 points of sale
- More than 50 acquirers, at more than 130,000 points of interaction
- Customs & authorities in more than 40 countries

Global Blue has over 2,000 employees in more than 50 countries. â¦
show more

See more <https://www.linkedin.com/company/global-blue/life/>

Set alert for similar jobs


      Get ahead with Premium Career

  *
    Contact recruiters directly
  *
    See whoâs viewing your profile
  *
    Stand out as a featured applicant

Try Free for 1 Month
<https://www.linkedin.com/premium/products/?destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F2540581439%2F%3FalternateChannel%3Dsearch%26refId%3DiwEBqfx0VsJ1y%252BBbpnJwGw%253D%253D%26trackingId%3D6rJIvjbwvTeiNUIBzkKnag%253D%253D%26showPremiumWelcomeBanner%3Dtrue&family=jss&upsellOrderOrigin=premium_job_details_upsell_right_rail>

Looking for talent?

Post a job
<https://www.linkedin.com/mjobs/jobPosting/learnMore?trk=flagship3_job_detail>



    LinkedIn Footer Content

  * About <https://about.linkedin.com/>
  * Accessibility <https://www.linkedin.com/accessibility>
  * Talent Solutions
    <https://business.linkedin.com/talent-solutions?trk=flagship_nav&veh=li-footer-lts-control&src=li-footer>

  * Community Guidelines
    <https://www.linkedin.com/help/linkedin/answer/34593>
  * Careers
    <https://www.linkedin.com/company/linkedin/life?trk=d_flagship3_nav>
  * Marketing Solutions
    <https://business.linkedin.com/marketing-solutions?trk=n_nav_lms_f&src=li-footer>

  *
    Privacy & Terms

  * Ad Choices <https://www.linkedin.com/help/linkedin/answer/62931>
  * Advertising <https://www.linkedin.com/ad/start?trk=n_nav_ads_f>
  * Sales Solutions
    <https://business.linkedin.com/sales-solutions?trk=flagship_nav&veh=li-footer-lss-control&src=li-footer>

  * Mobile <https://mobile.linkedin.com/>
  * Small Business <https://smallbusiness.linkedin.com/?&src=li-footer>
  * Safety Center <https://safety.linkedin.com/>

  *

    Questions?
    <https://www.linkedin.com/help/linkedin?trk=d_flagship3_job_details>

    Visit our Help Center.

  *

    Manage your account and privacy <https://www.linkedin.com/psettings/>

    Go to your Settings.

Select Language

LinkedIn Corporation Â© 2021

Aneta Kolackova
Status is online


        Messaging You are on the messaging overlay. Press enter to open
        the list of conversations.

1

Compose message

You are on the messaging overlay. Press enter to open the list of
conversations.

Loadingâ¦"
AT,Architect,"https://www.linkedin.com/jobs/view/2589036509/

Information Security Architect

Copmany: SWAROVSKI  
Location: Wattens, Tyrol, Austria
Employment Type: Full-time
Industry: Luxury Goods & Jewelry
Size: 10,001+ employees


Reference Number R-57255

You will be part of an international team, based in Wattens/Austria, and will be responsible to coordinate the overall Information Security Program and to oversee the evolution of the information security policies and controls. This includes ensuring a coordinated execution and evolution of the Information Security Program, in line with the information security strategic objectives.

About The Job


coordinate the Information Security Program
define the information security policy and control framework, and oversee corporate-wide information security policies, controls and services, and their evolution
define an overall reporting framework and KPIs for the Information Security Program
define the Information Security Awareness Program and oversee information security awareness initiatives
manage Information Security Management processes
perform information security risk assessment and consulting activities
You can watch this video for insight into the working environment. https //youtu.be/6d-pYXoC6w8WHAT

About You

We are looking for a unique and amazing talent, who brings along the following


At least 5 years of experience in the information security field
Solid know-how about information security management frameworks (e.g. ISO 27000, NIST CSF)
Ideally experience with managing a security program, policies and/or controls
Security certifications such as CISM are beneficial
Ability to translate security topics into business language and to communicate to stakeholders in business and IT
Strong lateral leadership skills
Fluency in English; fluency in German is an advantage

About Our Offer


An environment in which you can develop yourself and contribute ideas.
Experience in an international organization with truly global challenges
Working at the founding location in Wattens, Tyrol, where our heritage, technology and creativity as well as nature are combined in a unique working world with hundreds of professional fields, you will immerse yourself and write the next chapter of this innovative company with your colleagues.
Flexible working hours with no core hours to help you perform in the way that best supports you and the Swarovski company.
The annual basic salary is at least 32,546,64 euros gross for this position. We will then clarify your actual salary personally and take your qualifications and experience into account.

As required by law, we advise that the collectively agreed base monthly salary for this position is set at a minimum of â¬ 32,546,64 gross. Our actual salaries are market competitive and take individual qualifications and experience into account."
AT,Manager,"www.linkedin.com/jobs/view/2540581439/

Information Technology Security Manager

Copmany: Global Blue
Location: Vienna, Austria
Employment Type: Full-time
Industry: Financial Services
Size: 1,001-5,000 employees
Experience: Mid-Senior level

About the job
IT Security Manager  

Business Unit/Function: Technology  Information Security
Reports to: AVP IT Security

Nature and aim of the position
The IT Security Manager will provide security services as part of the IT Security team. The team reviews and covers a wide range of products, initiatives and projects in respect to security, compliance, governance and risk management in close collaboration and with core infrastructure, product and processing teams in the Global Blue group.

Main duties and responsibilities
- Support the internal stakeholders in delivering secure IT systems
- Participate in and contribute to the corporate SOX and PCI DSS compliance programs by
- governing and executing internal IT controls, evaluation of the design and operational effectiveness, determining the exposure to risk and developing remediation strategies
- performing regular internal IT audit validation and definition of improvements for short fallings
- review, evaluate, and test application security controls
- provide recommendations and guidance on identified security and/or control risks
- Support the team in day-2-day security activities
- participate in the change management process
- test and identify network and system vulnerabilities incl. coordination, tracking and remediation of  identified weaknesses
- operate and improve the SPLUNK security toolset in regards to security relevant events
- Develop a strong understanding of business and system processes
- Communicate complex technical issues in simplified terms to the relevant staff
- Document from time to time system architecture and advise on security best practice

Reporting and collaboration

The holder of the position will report solid-line to the AVP IT Security
- The holder of the position will work within the IT Security team
- The holder of the position will closely collaborate with various IT departments such as I&O, Product Management, Internal Audit or Finance
- The position has a external visibility within the GB group

Key Competencies
- Strong experience in IT general controls environment
- Some experience in a SOX, ISO or PCI DSS compliance organization
- At least one of the above certified is a strong plus
- Clear understanding of IT audit methodologies
- Strong attention to details with an analytical mind and outstanding problem-solving skill and attitude
- Ability to work under pressure in a fast-paced environment
- Experience in financial service and/or payment companies preferred
- Experience of engaging with stakeholders at all levels (incl. C-level) of seniority to help them understand their business propositions security and risk profile that needs to be addressed

Preferable skills and competencies
- Industry proofed knowledge and experience on IT audit
- Strong and profound knowledge on technology products and its functions
- ITIL certified
- PCI DSS Professional (or ISO27k series) preferred
- or the willingness to get trained on fast track on one of the both
- Ability to interface with business IT project teams, utilizing consulting and negotiating skills
- Ability to undertake and complete tasks independently, meet schedules and delivery timelines, and to move swiftly from concepts and theory to action
- Written communication skills for use in preparing formal documentation, policies, standards and training material
- Verbal skills that include the ability to clearly articulate thoughts and to deliver presentation and training to all levels
- Fluent English language - both verbal and written

Education and qualifications
- Bachelors Degree or higher in Computer Science, Engineering, Economics or equivalent

Experience
- 3+ years of experience
- Preferable in a multinational environment

Our Offer
- International environment, inspiring and highly motivated colleagues with more than 35 nationalities where English is the official working language
- State of the art office environment well connected to the public transportation system
- Flexible working time and distance/remote work to protect health of our employees and their families during the pandemic situation.
- Other benefits: well-being including discount for gym, meal vouchers, language courses, company doctor etc.

Global Blue guarantees a competitive and performance-related salary depending on your professional and personal qualifications. As required by Austrian federal law we hereby state, that the guaranteed legal annual Min. compensation according to the Austrian collective agreement amounts to 36530,06 EUR, however, the total compensation is a subject of individual agreement."
AT,Analyst,"https://www.linkedin.com/jobs/view/2997674064

Threat Detection Analyst

Company: Radar Cyber Security
Location: Vianna, Austria
Seniority Level: Entry level
Industry: IT Services and IT Consulting
Employment Type: Full-time Associate


About the job
Your Responsibilities

Design and write detection logic for our hybrid in-house SIEM solution
Identify and design new threat-detection models to increase our security monitoring capacities
Assess threats and vulnerabilities to break down methodical approaches for detection
Parse and normalize logs to equalize event data into a common format
Develop your niche among our team of heavy-hitting defender nerds

Your Qualifications

Experience in IT security â the more, the better â from professional or personal projects
A blue teamer/defender mindset, with understanding about networking and operating systems, threat patterns and threat behavior. A red/offensive mindset is also warmly appreciated!
Familiarity with, curiosity about and aptitude for understanding different log sources (applications, operating systems, network devices, cloud platforms, etc.)
Ideally experience with security information event management systems or with the generic signature format SIGMA
Basic scripting skills are an advantage
Good command of the English language, spoken and written
And of course: Interest in IT security!

What we offer

Working with innovative products in an international team
Self-reliant working in a very collegial, team-oriented environment
Advancement and development opportunities as well as regular feedback sessions
An office with very good traffic connections (underground)
Free coffee, tea, soft-drinks and fruits

It is important for us to offer salaries that are in line with previous experience and qualifications. To fulfil legal requirements, we point to the minimum annual gross salary stated in the collective agreement for employees of service providers in the field of automatic data processing and information technology of â¬ 36,890.- for a full time employment (38.5 hours/week)."
AT,Engineer,"https://www.linkedin.com/jobs/view/3020920801

IT Security Engineer

Company: Global Blue
Location: Vienna, Austria
Seniority Level: Mid-Senior level
Industry: Financial Services
Employment Type: Full-time



About the job
IT Security Engineer


The IT Security engineer will provide technical security services as part of the IT Security team. The team reviews and covers a wide range of projects in respect to security, compliance and risk management with core infrastructure, product and processing teams of Global Blue. In order to guarantee effective IT security, the position requires technical security support cross functional both within the team but also supporting secure development or technical requirements definition up to validating controls implemented.


Therefore, the main responsibilities include but are not limited to:


Execution of vulnerability management and assessment processes
Performance of ad-hoc internal and external Vulnerability Scanning using commercial and open-source tools
Performance of ad-hoc internal and external network and application penetration testing using a variety of methods, tools, and techniques
Coordination and tracking remediation of reported vulnerabilities
Security monitoring, definition of security events to be collected
Security Incident Response (CERT)
Maintaining security monitoring tooling and processes
Supporting the development and deployment of secured application
Monitoring and evaluating application relevant vulnerabilities
Assessing, coordinating and follow-up on remediation plans
Performing code reviews from a security aspect
Participating in the design of governance frameworks to review proposed application designs

Requirements:


Bachelorâs degree or higher in Computer Science, Engineering or equivalent
Min. 2 years of experience in similar position in a multinational environment
Experience with industry best practises (ISO27k, PCI DSS, ITIL)
Experience in finding security weakness, vulnerabilities, and code deficiencies
Hands-on for scripting such as PowerShell, SQL, Python, regex, and others
Experience with programming languages (e.g., JavaScript, Python, Ruby, PHP, Perl, SQL) is desired
Skills in secure server administration (Windows and Linux)
Experience conducting secure code review
Experience performing web application penetration testing
Experience with hardware and software attack and exploitation techniques are a plus
English language fluent both written and spoken

Personal competencies:


Detail oriented
Outstanding analytical and problem-solving skills
Independent, able to meet deadline
Strong communication skills
Ability to write formal documentation / policies, standards and training material

We offer

Global Blue offers a fast-paced, team environment. You will receive an outstanding total compensation and performance-related salary plan depending on your professional and personal qualifications. As we believe your compensation goes beyond your pay check, we offer a competitive salary plus yearly bonus, as well as a wide range of other perks and benefits:

Work in fast-growing international company and industry
State of the art office environment well connected to the public transportation system and with good infrastructure
International environment and inspiring colleagues from many different countries (35 nationalities)
Employee benefits and building events
Varied, interesting and challenging job
Flexible working time and remote/distance working due to pandemic situation"
AT,ISEngineer,"https://www.linkedin.com/jobs/view/2978052819

Information Security Engineer

Company: Runtastic GmbH
Location: Vienna, Austria
Seniority Level: Mid-Senior level
Industry: Wellness and Fitness Services
Employment Type: Full-time

About the job
We celebrate diversity, foster inclusiveness and encourage individual expression in our workplaces. We want you to be your amazing authentic self, embracing your differences and individual experiences to help us change lives through the power of sport! Runtastic is proud to be an equal opportunity workplace. Everyone is treated fairly regardless of race, gender, age, ethnic background, sexual orientation and expression, or other differences.


As our Information Security Engineer, you will be part of the Information Security Team and also closely collaborate with the InfSec experts at adidas. You will be responsible for raising the level of our security and while you and the whole Information Security Team will take our mission and information security very seriously, our team does not take themselves too seriously!


YOUâLL CONTRIBUTE BY:

Developing our state-of-the-art security systems further
Establishing secure coding guidelines and awareness training for our software developers
Driving security-related projects within our agile team setup
Performing and aligning security audits, code reviews and penetration tests
Continually monitoring software and systems for intrusions or irregular behavior
Identification of vulnerabilities & security risks and development of improvements


WHAT MAKES YOU THE RIGHT MATCH:

3+ years of professional IT security experience
Degree in IT Security or Computer Science and additional relevant courses
Experience with multiple operating systems (Linux, Mac OS X, Windows)
Preferably, professional experience with secure coding
Willingness to learn the basics of various programming languages as well as new technologies
Independent, reliable way of working
Strong communication skills & solution orientated mindset
Passion for Information and Cyber Security
Excellent English skills


And hereâs the fine print: Our salary range starts at EUR 55,160 gross per year. Your actual offer depends on your skillset and experience."
AT,Specialist,"https://www.linkedin.com/jobs/view/2991548079

Cybersecurity Specialist

Company: Institute of Science and Technology Austria 
Location:  Klosterneuburg, Lower Austria, Austria 
Industry: Information Technology & Services, Security & Investigations
Employment Type: Full-time



Cybersecurity Specialist


Full Time (40h/w)
Klosterneuburg (Vienna), Austria â Home Office Possible
â¬ 42,500* gross/year

ISTA is growing. Grow with us!


The Institute of Science and Technology Austria (ISTA) is a growing international institute for conducting frontier research in mathematics, computer science, and the life and physical sciences. We recruit passionate professionals from all over the world and from all fields who support our goals of excellence in research and science management. Located on a beautiful campus on the outskirts of Vienna, we offer numerous opportunities for personal growth in a stable working environment.


Your responsibilities


We are looking for a dedicated and meticulous cybersecurity specialist to join our growing team of Information Technology professionals. In this role you will operate independently and as part of a team to ensure our software, hardware, and related components are protected from cyber-attacks. You have strong IT skills and a deep understanding of computer/network vulnerabilities.


Monitor our organizationâs systems and networks for security breaches and investigate violations if they occur in a structured way
Develop and apply security strategies for our systems, networks and IoT devices
Conduct penetration testing to look for vulnerabilities in our environments before they can be exploited
Plan, deploy and maintain physical and logical firewalls to protect our infrastructure
Document configuration and security infrastructure strategies

Your profile


IT/InfoSec/CyberSec or equivalent education and/or relevant work experience
Strong IT skills including knowledge on hardware, software and networks
Some hands-on experience in the fields of network security, VPN and firewalls
Experience with common tools and frameworks for penetration testing and vulnerability scanning
Familiarity with ISO2700X, NIST and other relevant security policies and frameworks
Desire to self-educate on the ever-changing landscape of cyber hacking tactics
Skills of perception and QA, ability to identify vulnerabilities and overall issues
Excellent command of English (working language)
Reliable team-player with good communication skills

Your benefits


Education & training
Cafeteria
Childcare
Free shuttle bus
Multiple health offers
Pension insurance

We look forward to your application via our job portal!


* This position comes with possible overpayment depending on education, qualification and work experience. ISTA processes your personal data in accordance with the law. For more information, please refer to www.ista.ac.at/data-protection"
CZ,IPSecu,"https://www.linkedin.com/jobs/view/2410398234/?alternateChannel=search&refId=RWcBMI4nt0WbJOTkzPockw%3D%3D&trackingId=CaHliXUld2p8QputRs7Tlg%3D%3D

  IP Security Architect


      About the job

*Description

*The IP Security Architect is responsible for the design and
implementation of secure solutions for Data Center and Office LAN
infrastructure that support reliable and secure hosted and collaborative
services across the whole Vodafone business, mainly focused in Security
Gateways, Security Management tools and DNS infrastructure. Focusing on
the security aspects of the network design, especially with regards to
Firewall, Load balancer, Proxy, VPN Concentrator, DNS and DHCP server
platforms. As well as responsible for the engineering of the High and
Low Level Design, network implementation, testing and quality assurance
activities in the Local Markets network.

Focusing on developing and expanding the teamâs technical skills and
experience. Providing secure IP connectivity design based on customer
demand and network optimization.

*Job Responsibility
*

  * Drive increased quality of our network end to end.
  * Provide HLDs, LLDs, define templates, modularize and industrialize
    configuration items and their implementation.
  * Deploy the network fit for purpose including understanding of how
    our services/applications layer will run across the network
    (capacity, capability, utilisation).
  * Planning of Changes and support of Change Management Process.
  * Supervision of external supporters and 3rd parties.
  * Quality assurance in the design and implementation process.
  * Harmonize LAN network environments and services.
  * Support the state-of-the art network documentation for the
    implemented solution that is aligned with TSO architecture.
  * Detailed Knowledge in passive network- and Data Centre infrastructure.
  * Expert Knowledge in networks (TCP/IP, Protocols, Structures,
    Hardware, Security).
  * Expert Knowledge in the area of the installation and configuration
    of network components (Routers, Switches, VPN Gateways, Firewalls,
    Proxies , load balancers, DHCP servers, and others).
  * Expert Knowledge in routing protocols, VOIP technology, WLAN
    technology, DHCP, DNS, AD.
  * Expert Knowledge in network management and network analysis.

*Skills

*Network Access Technology

Data Analytics and Insights

Mobile and Network Security

NFV/SDN

System, Service and Solution Development

Software Engineering

Automation and Robotics

Testing and Evalutaion



      Industry

  * Information Services
  * Information Technology & Services
  * Telecommunications


      Employment Type

Part-time"
CZ,Senior,"https://www.linkedin.com/jobs/view/2487448959/?alternateChannel=search&refId=6rwYdiO5Xkj40tk2mWzsyA%3D%3D&trackingId=IBlh%2Bc9epPppWeiopx06MA%3D%3D
    
  Senior Information Security Analyst


      About the job

_**What is Job about?

*The Senior Information Security Services Analyst is the local security
professional assigned to a Conduent Business Unit(s), Site or Strategic
function / initiative. The Senior Information Security Services Analyst
is responsible for ensuring good security risk management practices are
adhered to within their assigned area. They will coordinate Conduent led
projects within their functional area, perform compliance assessments
and maintain a security risk scorecard that measures and improves
maturity in their assigned area of responsibility.

You will ensure that business propositions and initiatives are reviewed
for security policy compliance and follow processes to reduce security
risks. They will be commercially aware and compliance oriented.

*_Job Responsibilities
_*

  * Performing security assessments & inspections of the environment to
    ensure compliance with security policy.
  * Developing corrective action plans and lead projects to timely
    completion
  * Conduct training and awareness sessions for all staff on the
    relevant security requirements / improvements within their assigned
    environment.
  * Develop & implement the required processes, tools and guidance as
    required to reduce risk and to comply with security requirements.
  * Act as the information security specialist / reviewer on business &
    IT projects, as well as coordinate relevant security assessments, as
    appropriate to the engagement/project.
  * Responsible owner for all security & privacy projects affecting
    their assigned area (including assessments, analyses & remediation
    work streams)
  * Drive cross functional risk remediation with the Local Stakeholders
    (IT, Site Leaders, Human Resources & Business Operations)
  * Maintain responsibility for the risk dashboard and incident register
    for the site, including reporting of progress against KPIâs

*_General
_*

  * Work collaboratively with a diverse, global, and multicultural community
  * Maintain confidentiality of work-related information and materials
  * Establish and maintain effective working relationships
  * Present information at various levels of the organization
  * Stay up to date on security industry trends

*_What We Expect From You
_*

  * Experience with cyber security or audit principles and practices
    required.
  * Experience with industry best practices and standards for security
    and privacy (GDPR, PCI DSS, ISO 27001, or NIST) required.
  * 3 to 5 years experience in a security or compliance role required.
  * Strong oral and written communications skills required.
  * Strong organizational and planning skills required.
  * Experience working within a global environment, across multiple time
    zones preferred
  * Knowledge of industry trends and emerging threats preferred.
  * Certification in one or more areas of project management,
    information security, audit or cyber security (i.e., SSCP, CISA or
    CISSP) preferred.

      Industry

  * Information Technology & Services
  * Computer Software
  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
CZ,Securi,"https://www.linkedin.com/jobs/view/2516704620

  Security Analyst


      About the job

*As part of Security Team, the Security Analyst will
assist with day-to-day operations related to vulnerability and threat
risk management: identification, remediation, mitigation, and reporting.*


*Responsibilities*

Â·        Research and investigate new and emerging threats and
vulnerabilities

Â·        Analyze results of vulnerability assessments

Â·        Act as a domain specialist in external/vendor vulnerabilities
detection and impact assessment, accelerate and improve it

Â·        Contribute to the aggregation and reporting of vulnerability
metrics and information, provide regular updates for reported
vulnerabilities

Â·        Partner with multi-functional teams to ensure remediation of
identified vulnerabilities occurs within noted timeframes and in
adherence with information security policies

Â·        Partner with stakeholders to streamline, standardize and
document vulnerability management procedures

Â·        Feel comfortable voicing their own opinion while negotiating
with key stakeholders or explaining relevance of a particular finding

Â·        Assist in supporting, mentoring, and development of
analysts/engineers

Â·        Be flexible working with overseas teams during off-hours


*Qualifications*

Â·        Bachelorâs Degree in Computer Engineering, Computer Science, or
a related field

Â·       2+ years of experience in information security, cyber risk
management or security advisory

Â·        Practical experience with identifying, analyzing, and
communicating cyber threat and vulnerability information

Â·        Knowledge on OWASP vulnerabilities and methodology

Â·        Experience with tools like Qualys, Splunk, Elasticsearch, Jira,
Confluence

Â·        Programming or scripting experience is a plus

Â·        Thorough understanding of project/program management techniques
and methods

Â·        Excellent written and verbal communication skills

Â·        Highly self-motivated and directed

Â·        Recognized industry certification and/or continuing education
programs are a major plus including CISSP, CEH, Security+




 

*EU Visa valid!*


      Job Details


      Seniority Level

Mid-Senior level


      Industry

  * Information Technology & Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
