country,title,text
AT,Architect,"https://www.linkedin.com/jobs/view/2589036509/

Information Security Architect

Copmany: SWAROVSKI  
Location: Wattens, Tyrol, Austria
Employment Type: Full-time
Industry: Luxury Goods & Jewelry
Size: 10,001+ employees


Reference Number R-57255

You will be part of an international team, based in Wattens/Austria, and will be responsible to coordinate the overall Information Security Program and to oversee the evolution of the information security policies and controls. This includes ensuring a coordinated execution and evolution of the Information Security Program, in line with the information security strategic objectives.

About The Job


coordinate the Information Security Program
define the information security policy and control framework, and oversee corporate-wide information security policies, controls and services, and their evolution
define an overall reporting framework and KPIs for the Information Security Program
define the Information Security Awareness Program and oversee information security awareness initiatives
manage Information Security Management processes
perform information security risk assessment and consulting activities
You can watch this video for insight into the working environment. https //youtu.be/6d-pYXoC6w8WHAT

About You

We are looking for a unique and amazing talent, who brings along the following


At least 5 years of experience in the information security field
Solid know-how about information security management frameworks (e.g. ISO 27000, NIST CSF)
Ideally experience with managing a security program, policies and/or controls
Security certifications such as CISM are beneficial
Ability to translate security topics into business language and to communicate to stakeholders in business and IT
Strong lateral leadership skills
Fluency in English; fluency in German is an advantage

About Our Offer


An environment in which you can develop yourself and contribute ideas.
Experience in an international organization with truly global challenges
Working at the founding location in Wattens, Tyrol, where our heritage, technology and creativity as well as nature are combined in a unique working world with hundreds of professional fields, you will immerse yourself and write the next chapter of this innovative company with your colleagues.
Flexible working hours with no core hours to help you perform in the way that best supports you and the Swarovski company.
The annual basic salary is at least 32,546,64 euros gross for this position. We will then clarify your actual salary personally and take your qualifications and experience into account.

As required by law, we advise that the collectively agreed base monthly salary for this position is set at a minimum of â¬ 32,546,64 gross. Our actual salaries are market competitive and take individual qualifications and experience into account."
AT,Manager,"www.linkedin.com/jobs/view/2540581439/

Information Technology Security Manager

Copmany: Global Blue
Location: Vienna, Austria
Employment Type: Full-time
Industry: Financial Services
Size: 1,001-5,000 employees
Experience: Mid-Senior level

About the job
IT Security Manager  

Business Unit/Function: Technology  Information Security
Reports to: AVP IT Security

Nature and aim of the position
The IT Security Manager will provide security services as part of the IT Security team. The team reviews and covers a wide range of products, initiatives and projects in respect to security, compliance, governance and risk management in close collaboration and with core infrastructure, product and processing teams in the Global Blue group.

Main duties and responsibilities
- Support the internal stakeholders in delivering secure IT systems
- Participate in and contribute to the corporate SOX and PCI DSS compliance programs by
- governing and executing internal IT controls, evaluation of the design and operational effectiveness, determining the exposure to risk and developing remediation strategies
- performing regular internal IT audit validation and definition of improvements for short fallings
- review, evaluate, and test application security controls
- provide recommendations and guidance on identified security and/or control risks
- Support the team in day-2-day security activities
- participate in the change management process
- test and identify network and system vulnerabilities incl. coordination, tracking and remediation of  identified weaknesses
- operate and improve the SPLUNK security toolset in regards to security relevant events
- Develop a strong understanding of business and system processes
- Communicate complex technical issues in simplified terms to the relevant staff
- Document from time to time system architecture and advise on security best practice

Reporting and collaboration

The holder of the position will report solid-line to the AVP IT Security
- The holder of the position will work within the IT Security team
- The holder of the position will closely collaborate with various IT departments such as I&O, Product Management, Internal Audit or Finance
- The position has a external visibility within the GB group

Key Competencies
- Strong experience in IT general controls environment
- Some experience in a SOX, ISO or PCI DSS compliance organization
- At least one of the above certified is a strong plus
- Clear understanding of IT audit methodologies
- Strong attention to details with an analytical mind and outstanding problem-solving skill and attitude
- Ability to work under pressure in a fast-paced environment
- Experience in financial service and/or payment companies preferred
- Experience of engaging with stakeholders at all levels (incl. C-level) of seniority to help them understand their business propositions security and risk profile that needs to be addressed

Preferable skills and competencies
- Industry proofed knowledge and experience on IT audit
- Strong and profound knowledge on technology products and its functions
- ITIL certified
- PCI DSS Professional (or ISO27k series) preferred
- or the willingness to get trained on fast track on one of the both
- Ability to interface with business IT project teams, utilizing consulting and negotiating skills
- Ability to undertake and complete tasks independently, meet schedules and delivery timelines, and to move swiftly from concepts and theory to action
- Written communication skills for use in preparing formal documentation, policies, standards and training material
- Verbal skills that include the ability to clearly articulate thoughts and to deliver presentation and training to all levels
- Fluent English language - both verbal and written

Education and qualifications
- Bachelors Degree or higher in Computer Science, Engineering, Economics or equivalent

Experience
- 3+ years of experience
- Preferable in a multinational environment

Our Offer
- International environment, inspiring and highly motivated colleagues with more than 35 nationalities where English is the official working language
- State of the art office environment well connected to the public transportation system
- Flexible working time and distance/remote work to protect health of our employees and their families during the pandemic situation.
- Other benefits: well-being including discount for gym, meal vouchers, language courses, company doctor etc.

Global Blue guarantees a competitive and performance-related salary depending on your professional and personal qualifications. As required by Austrian federal law we hereby state, that the guaranteed legal annual Min. compensation according to the Austrian collective agreement amounts to 36530,06 EUR, however, the total compensation is a subject of individual agreement."
AU,Inform,"https://www.linkedin.com/company/global-blue/life

Information Technology Security Manager

Global Blue <https://www.linkedin.com/company/global-blue/life/> Vienna,
Austria 1 week ago 8 applicants

Apply
Save Save Information Technology Security Manager at Global Blue

Youâve saved this job in your Jobs Tracker.

See saved jobs <https://www.linkedin.com/my-items/saved-jobs/>


      About the job

*IT Security Manager  *

/Business Unit/Function: Technology â Information Security/

Reports to:                         AVP IT Security


*Nature and aim of the position*

The IT Security Manager will provide security services as part of the IT
Security team. The team reviews and covers a wide range of products,
initiatives and projects in respect to security, compliance, governance
and risk management in close collaboration and with core infrastructure,
product and processing teams in the Global Blue group.


*Main duties and responsibilities*

  * Support the internal stakeholders in delivering secure IT systems
  * Participate in and contribute to the corporate SOX and PCI DSS
    compliance programs by
  * governing and executing internal IT controls, evaluation of the
    design and operational effectiveness, determining the exposure to
    risk and developing remediation strategies
  * performing regular internal IT audit validation and definition of
    improvements for short fallings
  * review, evaluate, and test application security controls
  * provide recommendations and guidance on identified security and/or
    control risks
  * Support the team in day-2-day security activities
  * participate in the change management process
  * test and identify network and system vulnerabilities incl.
    coordination, tracking and remediation of  identified weaknesses
  * operate and improve the SPLUNK security toolset in regards to
    security relevant events
  * Develop a strong understanding of business and system processes
  * Communicate complex technical issues in simplified terms to the
    relevant staff
  * Document from time to time system architecture and advise on
    security best practice


*Reporting and collaboration*

The holder of the position will report solid-line to the AVP IT Security

  * The holder of the position will work within the IT Security team
  * The holder of the position will closely collaborate with various IT
    departments such as I&O, Product Management, Internal Audit or Finance
  * The position has a external visibility within the GB group


*Key Competencies*

  * Strong experience in IT general controls environment
  * Some experience in a SOX, ISO or PCI DSS compliance organization
  * At least one of the above certified is a strong plus
  * Clear understanding of IT audit methodologies
  * Strong attention to details with an analytical mind and outstanding
    problem-solving skill and attitude
  * Ability to work under pressure in a fast-paced environment
  * Experience in financial service and/or payment companies preferred
  * Experience of engaging with stakeholders at all levels (incl.
    C-level) of seniority to help them understand their business
    propositions security and risk profile that needs to be addressed


*Preferable skills and competencies*

  * Industry proofed knowledge and experience on IT audit
  * Strong and profound knowledge on technology products and its functions
  * ITIL certified
  * PCI DSS Professional (or ISO27k series) preferred
  * or the willingness to get trained on fast track on one of the both
  * Ability to interface with business IT project teams, utilizing
    consulting and negotiating skills
  * Ability to undertake and complete tasks independently, meet
    schedules and delivery timelines, and to move swiftly from concepts
    and theory to action
  * Written communication skills for use in preparing formal
    documentation, policies, standards and training material
  * Verbal skills that include the ability to clearly articulate
    thoughts and to deliver presentation and training to all levels
  * Fluent English language - both verbal and written


*Education and qualifications*

  * Bachelorâs Degree or higher in Computer Science, Engineering,
    Economics or equivalent


*Experience*

  * 3+ years of experience
  * Preferable in a multinational environment


*Our Offer*

  * International environment, inspiring and highly motivated colleagues
    with more than 35 nationalities where English is the official
    working language
  * State of the art office environment well connected to the public
    transportation system
  * Flexible working time and distance/remote work to protect health of
    our employees and their families during the pandemic situation.
  * Other benefits: well-being including discount for gym, meal
    vouchers, language courses, company doctor etc.


Global Blue guarantees a competitive and performance-related salary
depending on your professional and personal qualifications. As required
by Austrian federal law we hereby state, that the guaranteed legal
annual Min. compensation according to the Austrian collective agreement
amounts to 36530,06 EUR, however, the total compensation is a subject of
individual agreement.


      Job Details


      Seniority Level

Mid-Senior level


      Industry

  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology

See less


    Pay range unavailable

Salary information is not available at the moment.

Are you interested in salary information for this job?
Yes

/
No


        See how you rank

  *
    Premium Member
  *
    Premium Member
  *
    Premium Member

Premium Member

Millions of members use Premium

Try Premium for free
<https://www.linkedin.com/premium/products/?channel=JOBS&destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F2540581439%2F%3FalternateChannel%3Dsearch%26refId%3DiwEBqfx0VsJ1y%252BBbpnJwGw%253D%253D%26trackingId%3D6rJIvjbwvTeiNUIBzkKnag%253D%253D%26showPremiumWelcomeBanner%3Dtrue&family=JSS&premiumFeatureType=APPLICANT_INSIGHTS&upsellOrderOrigin=premium_job_details_obfuscated_applicant_insights_upsell>


    Competitive intelligence about other applicants


      Top applicants

% Hidden percentage
Youâre in the top % of applicants based on your LinkedIn profile Youâre
in the top hidden percentage of a hidden number applicants based on your
LinkedIn profile

Match based on your LinkedIn profile:


      Top skills

You have 0 out of 10 top skills among all other applicants

  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill
  *

    Hidden skill

Highlights

  *
    AT&T

    5 people at Global Blue also worked at AT&T

    <https://www.linkedin.com/search/results/people/?facetCurrentCompany=788235&facetPastCompany=1052>

  *
    Brno University of Technology

    3 people at Global Blue also studied at Brno University of Technology

    <https://www.linkedin.com/search/results/people/?facetCurrentCompany=788235&facetSchool=11718>



      About the company

Global Blue company logo
<https://www.linkedin.com/company/global-blue/life/>
Global Blue <https://www.linkedin.com/company/global-blue/life/>
24,203 followers

Follow

Financial Services 1,001-5,000 employees 1,124 on LinkedIn

Global Blue pioneered the concept of Tax Free Shopping 40 years ago.
Through continuous innovation, it has become the leading strategic
technology and payments partner, empowering merchants to capture the
growth of international shoppers.

The Group connects all stakeholders involved in the international
shopping ecosystem, helping:
- More than 29 million international shoppers
- More than 300,000 points of sale
- More than 50 acquirers, at more than 130,000 points of interaction
- Customs & authorities in more than 40 countries

Global Blue has over 2,000 employees in more than 50 countries. â¦
show more

See more <https://www.linkedin.com/company/global-blue/life/>

Set alert for similar jobs


      Get ahead with Premium Career

  *
    Contact recruiters directly
  *
    See whoâs viewing your profile
  *
    Stand out as a featured applicant

Try Free for 1 Month
<https://www.linkedin.com/premium/products/?destRedirectURL=https%3A%2F%2Fwww.linkedin.com%2Fjobs%2Fview%2F2540581439%2F%3FalternateChannel%3Dsearch%26refId%3DiwEBqfx0VsJ1y%252BBbpnJwGw%253D%253D%26trackingId%3D6rJIvjbwvTeiNUIBzkKnag%253D%253D%26showPremiumWelcomeBanner%3Dtrue&family=jss&upsellOrderOrigin=premium_job_details_upsell_right_rail>

Looking for talent?

Post a job
<https://www.linkedin.com/mjobs/jobPosting/learnMore?trk=flagship3_job_detail>



    LinkedIn Footer Content

  * About <https://about.linkedin.com/>
  * Accessibility <https://www.linkedin.com/accessibility>
  * Talent Solutions
    <https://business.linkedin.com/talent-solutions?trk=flagship_nav&veh=li-footer-lts-control&src=li-footer>

  * Community Guidelines
    <https://www.linkedin.com/help/linkedin/answer/34593>
  * Careers
    <https://www.linkedin.com/company/linkedin/life?trk=d_flagship3_nav>
  * Marketing Solutions
    <https://business.linkedin.com/marketing-solutions?trk=n_nav_lms_f&src=li-footer>

  *
    Privacy & Terms

  * Ad Choices <https://www.linkedin.com/help/linkedin/answer/62931>
  * Advertising <https://www.linkedin.com/ad/start?trk=n_nav_ads_f>
  * Sales Solutions
    <https://business.linkedin.com/sales-solutions?trk=flagship_nav&veh=li-footer-lss-control&src=li-footer>

  * Mobile <https://mobile.linkedin.com/>
  * Small Business <https://smallbusiness.linkedin.com/?&src=li-footer>
  * Safety Center <https://safety.linkedin.com/>

  *

    Questions?
    <https://www.linkedin.com/help/linkedin?trk=d_flagship3_job_details>

    Visit our Help Center.

  *

    Manage your account and privacy <https://www.linkedin.com/psettings/>

    Go to your Settings.

Select Language

LinkedIn Corporation Â© 2021

Aneta Kolackova
Status is online


        Messaging You are on the messaging overlay. Press enter to open
        the list of conversations.

1

Compose message

You are on the messaging overlay. Press enter to open the list of
conversations.

Loadingâ¦"
CZ,IPSecu,"https://www.linkedin.com/jobs/view/2410398234/?alternateChannel=search&refId=RWcBMI4nt0WbJOTkzPockw%3D%3D&trackingId=CaHliXUld2p8QputRs7Tlg%3D%3D

  IP Security Architect


      About the job

*Description

*The IP Security Architect is responsible for the design and
implementation of secure solutions for Data Center and Office LAN
infrastructure that support reliable and secure hosted and collaborative
services across the whole Vodafone business, mainly focused in Security
Gateways, Security Management tools and DNS infrastructure. Focusing on
the security aspects of the network design, especially with regards to
Firewall, Load balancer, Proxy, VPN Concentrator, DNS and DHCP server
platforms. As well as responsible for the engineering of the High and
Low Level Design, network implementation, testing and quality assurance
activities in the Local Markets network.

Focusing on developing and expanding the teamâs technical skills and
experience. Providing secure IP connectivity design based on customer
demand and network optimization.

*Job Responsibility
*

  * Drive increased quality of our network end to end.
  * Provide HLDs, LLDs, define templates, modularize and industrialize
    configuration items and their implementation.
  * Deploy the network fit for purpose including understanding of how
    our services/applications layer will run across the network
    (capacity, capability, utilisation).
  * Planning of Changes and support of Change Management Process.
  * Supervision of external supporters and 3rd parties.
  * Quality assurance in the design and implementation process.
  * Harmonize LAN network environments and services.
  * Support the state-of-the art network documentation for the
    implemented solution that is aligned with TSO architecture.
  * Detailed Knowledge in passive network- and Data Centre infrastructure.
  * Expert Knowledge in networks (TCP/IP, Protocols, Structures,
    Hardware, Security).
  * Expert Knowledge in the area of the installation and configuration
    of network components (Routers, Switches, VPN Gateways, Firewalls,
    Proxies , load balancers, DHCP servers, and others).
  * Expert Knowledge in routing protocols, VOIP technology, WLAN
    technology, DHCP, DNS, AD.
  * Expert Knowledge in network management and network analysis.

*Skills

*Network Access Technology

Data Analytics and Insights

Mobile and Network Security

NFV/SDN

System, Service and Solution Development

Software Engineering

Automation and Robotics

Testing and Evalutaion



      Industry

  * Information Services
  * Information Technology & Services
  * Telecommunications


      Employment Type

Part-time"
CZ,Senior,"https://www.linkedin.com/jobs/view/2487448959/?alternateChannel=search&refId=6rwYdiO5Xkj40tk2mWzsyA%3D%3D&trackingId=IBlh%2Bc9epPppWeiopx06MA%3D%3D
    
  Senior Information Security Analyst


      About the job

_**What is Job about?

*The Senior Information Security Services Analyst is the local security
professional assigned to a Conduent Business Unit(s), Site or Strategic
function / initiative. The Senior Information Security Services Analyst
is responsible for ensuring good security risk management practices are
adhered to within their assigned area. They will coordinate Conduent led
projects within their functional area, perform compliance assessments
and maintain a security risk scorecard that measures and improves
maturity in their assigned area of responsibility.

You will ensure that business propositions and initiatives are reviewed
for security policy compliance and follow processes to reduce security
risks. They will be commercially aware and compliance oriented.

*_Job Responsibilities
_*

  * Performing security assessments & inspections of the environment to
    ensure compliance with security policy.
  * Developing corrective action plans and lead projects to timely
    completion
  * Conduct training and awareness sessions for all staff on the
    relevant security requirements / improvements within their assigned
    environment.
  * Develop & implement the required processes, tools and guidance as
    required to reduce risk and to comply with security requirements.
  * Act as the information security specialist / reviewer on business &
    IT projects, as well as coordinate relevant security assessments, as
    appropriate to the engagement/project.
  * Responsible owner for all security & privacy projects affecting
    their assigned area (including assessments, analyses & remediation
    work streams)
  * Drive cross functional risk remediation with the Local Stakeholders
    (IT, Site Leaders, Human Resources & Business Operations)
  * Maintain responsibility for the risk dashboard and incident register
    for the site, including reporting of progress against KPIâs

*_General
_*

  * Work collaboratively with a diverse, global, and multicultural community
  * Maintain confidentiality of work-related information and materials
  * Establish and maintain effective working relationships
  * Present information at various levels of the organization
  * Stay up to date on security industry trends

*_What We Expect From You
_*

  * Experience with cyber security or audit principles and practices
    required.
  * Experience with industry best practices and standards for security
    and privacy (GDPR, PCI DSS, ISO 27001, or NIST) required.
  * 3 to 5 years experience in a security or compliance role required.
  * Strong oral and written communications skills required.
  * Strong organizational and planning skills required.
  * Experience working within a global environment, across multiple time
    zones preferred
  * Knowledge of industry trends and emerging threats preferred.
  * Certification in one or more areas of project management,
    information security, audit or cyber security (i.e., SSCP, CISA or
    CISSP) preferred.

      Industry

  * Information Technology & Services
  * Computer Software
  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
CZ,Securi,"https://www.linkedin.com/jobs/view/2516704620

  Security Analyst


      About the job

*As part of Security Team, the Security Analyst will
assist with day-to-day operations related to vulnerability and threat
risk management: identification, remediation, mitigation, and reporting.*


*Responsibilities*

Â·        Research and investigate new and emerging threats and
vulnerabilities

Â·        Analyze results of vulnerability assessments

Â·        Act as a domain specialist in external/vendor vulnerabilities
detection and impact assessment, accelerate and improve it

Â·        Contribute to the aggregation and reporting of vulnerability
metrics and information, provide regular updates for reported
vulnerabilities

Â·        Partner with multi-functional teams to ensure remediation of
identified vulnerabilities occurs within noted timeframes and in
adherence with information security policies

Â·        Partner with stakeholders to streamline, standardize and
document vulnerability management procedures

Â·        Feel comfortable voicing their own opinion while negotiating
with key stakeholders or explaining relevance of a particular finding

Â·        Assist in supporting, mentoring, and development of
analysts/engineers

Â·        Be flexible working with overseas teams during off-hours


*Qualifications*

Â·        Bachelorâs Degree in Computer Engineering, Computer Science, or
a related field

Â·       2+ years of experience in information security, cyber risk
management or security advisory

Â·        Practical experience with identifying, analyzing, and
communicating cyber threat and vulnerability information

Â·        Knowledge on OWASP vulnerabilities and methodology

Â·        Experience with tools like Qualys, Splunk, Elasticsearch, Jira,
Confluence

Â·        Programming or scripting experience is a plus

Â·        Thorough understanding of project/program management techniques
and methods

Â·        Excellent written and verbal communication skills

Â·        Highly self-motivated and directed

Â·        Recognized industry certification and/or continuing education
programs are a major plus including CISSP, CEH, Security+




 

*EU Visa valid!*


      Job Details


      Seniority Level

Mid-Senior level


      Industry

  * Information Technology & Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
CZ,IPSPPG,"https://www.linkedin.com/jobs/view/2531775908/?alternateChannel=search&refId=1e9tmgu9cq9dKqxlNYnt3A%3D%3D&trackingId=ViJ1GTe6FN8xAe%2BvcD4jlQ%3D%3D

  IT Security Analyst


      About the job

As an IT Security Analyst, you will provide support provisioning
activities to all end users of key European systems for compliance
activities.

The compliance team is a part of the Global IT Security Team based in
Brno and cooperates with other teams across the globe (Europe, United
States of America, Asia).

**Key Responsibilities
**

  * Work on compliance reviews according to the plan and ensure their
    alignment with security policies, SOX and audit compliance
  * Create documents, tracks, monitors reviews to ensure all are
    finished timely and accordingly in the most efficient way
  * Structuring and prioritizing business requirements and communicating
    plans with stakeholders for review and approval
  * Planning improvements to existing information systems to be
    compliant with policies

*_Qualifications
_*

  * Ideally 2 years of experience in a computer-related area (knowledge
    of commonly-used concepts, practices, and procedures in the IT field)
  * Good understanding of IT Systems security principles and SQL
  * Knowledge of Oracle system and user maintenance is an advantage
  * Good knowledge of English (other European Language is an advantage)
  * Previous experience with MS Active Directory, MS Exchange, SAP,
    Oracle, PowerShell and IAM tools such as SailPoint is a plus
  * Ability to quickly resolve technical issues, evaluates alternative
    approaches and recommends the most feasible solutions


      Seniority Level

Associate


      Industry

  * Information Technology & Services
  * Computer Software
  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology

See less"
CZ,CYBERS,"https://www.linkedin.com/jobs/view/2503796283
   

  CYBER SECURITY & IT COMPLIANCE MANAGER (M/F)


      About the job


*Your Tasks

# *Define and support implementation of IT security processes within the
IT organization according to given priorities by IT management
# Coordinate and manage security policy, perform check and assessment
activities
# Identify and evaluate security risks, prepare mitigation actions
# Be the IT internal consultant on data privacy topics (e.g. GDPR)
# Support/drive projects in the field of IT security in interdisciplinary
teams or with external partners
# Develop and be responsible for IT continuity and disaster recovery plans

*Your Profile

# *University degree in IT/information systems or other technical discipline
# Minimum of 5 years of experience in a similar role or as an IT Security
Engineer
# Very good communication skills in English
# Good knowledge of the data privacy regulations and willingness to expand
the knowledge
# Deep experience in IT security thread-modelling/IT continuity and
disaster recovery/risk management
# Solid experience in applications-, endpoint-, network- and system
engineering
# IT project management
# Data privacy (GDPR)


      Seniority Level

Mid-Senior level


      Industry

  * Information Technology & Services
  * Computer & Network Security
  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
CZ,Infras,"https://www.linkedin.com/jobs/view/2561266648

  Infrastructure Security Architect 

Prague


*Role Type
*Permanent

*_What You'll Be Doing

_*The Infrastructure Security Architect is responsible for working
across the IT project portfolio to design, build and test secure
infrastructure and the supporting IT systems within Avon, with a
specific focus on IT Infrastructure such as global corporate networks,
cloud environments, Operating Systems, End User Computing, mobile
devices and collaboration services such as email and Microsoft 365
environments.
The role is responsible for reviewing or creating High Level Designs and
Low Level Designs, working with technical teams to ensure solutions are
secure. The Infrastructure Security Architect will follow documented
reference architectures and finalize security designs for new
applications, integrations and supporting infrastructure. This is done
in collaboration with the Enterprise Security Architect and Security
Engineering teams.

*_Key Responsibilities

_***Acting as an Infrastructure Security Architect you will:*
*

  * Design and maintain an information security architecture standards,
    principles, requirements and guidelines
  * Maintain information security methodology, (including: assets
    analysis, threat analysis, risk analysis, business impact analysis)
  * Perform required information security analyses (including: asset,
    risk, business impact etc.)
  * Design and maintain a security related project templates
  * Define requirements for projects related security controls
  * Define and maintain a project related security self-assessment
  * Closely cooperate with the rest of architecting/project teams

*_We'd Love You To Have
_*

  * A bachelor's degree in Computer Science, Engineering, Information
    Security, or equivalent work experience
  * 5+ years of relevant professional experience (Agile development, IT
    Corporate Systems Security, IT Security Applications)
  * Knowledge of industry regulations and requirements such as ISO27001,
    NIST, PCI-DSS and other industry standards.
  * Experience in planning, research and design corporate systems
    security architectures
  * Knowledge how to perform vulnerability testing and security assessments
  * Experience in researching security systems and authentication protocols
  * Expertise in developing: security requirements for local, wide, and
    virtual private networks; security requirements for routers,
    firewalls, and related network devices; security requirements for
    cloud components like VPC, WAF, Firewall etc.
  * Knowledge how to design public key infrastructures
  * Experience in preparation of cost estimates
  * TOGAF / SABSA, CISSP, CCSK or CCSP, CEH (preferred)
  * Good interpersonal skills, as well as collaborative negotiation will
    be necessary with both internal Avon associates and suppliers
  * Experience in integration issues identification and cost estimation
  * Experience in security policies approval
  * Experience with technical supervision to a security teams
  * English language skills (spoken and written)


      Seniority Level

Associate


      Industry

  * Information Technology & Services
  * Computer & Network Security
  * Financial Services


      Employment Type

Full-time


      Job Functions

  * Information Technology"
CZ,GroupP,"https://www.linkedin.com/jobs/view/2533119853

  Group Product Manager

      About the job
 

*Responsibilities:*

  * Lead the transition from project to product driven organization in
    the area of platforms and infrastructure
  * Align Platforms & IT infrastructure investment strategy with the
    company strategy
  * Work closely with engineering and infrastructure teams to define and
    execute on our platform strategy
  * Act as a solution manager for the demand from our internal customers
    and stakeholders
  * Contribute to the overall goal of increasing the productivity and
    pace at which our products are brought to the market
  * Mature product management function within your team while closely
    cooperating with other product management leaders
  * Bring high levels of entrepreneurial energy, cross-functional
    collaboration and Agile know-how to advancing our product
    development culture and to growing talent
  * Ensure timely delivery of quality product releases through strong
    and efficient PM process management in partnership with engineering,
    infrastructure and design
  * Lead development and delivery of solutions, with responsibility for
    overall product lifecycle and positive business outcomes
  * Be aware of expected trends in demand of security technology, and
    contribute to new ideas to drive future offerings and potentially
    new demand
  * Work within a matrix environment to ensure that product teams are
    fully aligned to key priorities and opportunities


*What we need:*

  * Strong experience from continuous product design & discovery.
    Experience from applying design thinking in practice would be a
    strong advantage
  * Experience from delivering internal platforms and/or infrastructure
    related products would be an advantage
  * 7+ years digital product management; 3+ years team leadership
  * Experience from working in an agile environment â understanding of
    MVP and build measure learn concept and principles
  * Ability to balance business and user needs while taking into account
    technical limitations
  * Very strong ability to work collaboratively across functions and
    different teams
  * Strong presentation & communication skills, proficiency in written
    and verbal English
  * Strong international orientation with the ability to relate well to
    the European and American cultures



      Job Details


      Seniority Level

Mid-Senior level


      Industry

  * Computer & Network Security


      Employment Type

Full-time


      Job Functions

  * Product Management
  * Marketing"
