job_title,text
Software Cyber Security Specialist ,"Description Development of cyber security requirements and system conceptsAnalysis and identification of security weaknesses in driver and vehicle functions Conceptual design of security systems in automotive products Execution of Threat Analysis and Risk Assessment of Automotive Systems (TARA) Application of the security architecture to a specific target system  Specification, design, and reviews of the security architecture with the system architect and the project team Support of acquisition and quote process  Coordination of system security objectives with the customer Participation in the creation of security-by-design principlesQualifications University/ higher school degree for Computer Science, Cyber security, Information security or related discipline  Cryptographic and Secure Network Protocol Know-How Ideally, several years of professional experience in the field of product security (preferably from the automotive sector) as well as knowledge and experience in the application of the standard ISO/SAE 21434 is desirable Ability to work well together in international teams and with international customers Very good MS Office Knowhow and experience in PM – and presentation tools  Pro-active, team oriented and self-motivated Fluent English and German language skills Willingness to travelWhat We Offer Multifaceted tasks Attractive work environment within an international company Active collaboration within an international team Great work atmosphere Excellent transportation connections to our location Sphere for creative ideas and active cooperation on innovative products Benefits such as food subsidy, inhouse canteen, company physician, flextime, sport activities, etc."
Researcher Security Analytics ,"With more than 3,700 students in six departments, the St. Pölten University of Applied Sciences is a key player in the Austrian higher education and research sector and one of the most important employers in the region. The St. Pölten UAS stands for unique creative possibilities as well as team-oriented and inspiring collaboration and leaves room for individual growth and personal development. The University of Applied Sciences is constantly growing.In the Department of Computer Science & Security, we are looking for aResearcher Security Analytics (f/m/d, 20-40 h)What you will be working onYou are part of the team working on scientific research projects in the field of cyber security and resilienceYou integrate students into the project workYou independently publish papers and hold lectures at international conferencesYou cultivate contacts to the business world and the scientific communityWhat we expect from youA university degree (at least master level, ideally post-doc) in informatics or a comparable field, preferably with a focus on securityFundamental experience in researchExperience in lecture and publication activity at an international levelVery good command of spoken and written German and English (if you lack German language skills, we can help you acquire them)A high degree of team orientation, strategic thinking, flexibility, and strong communication skillsWhat we offerLong-term employment (20-40 h/week) in an exciting and employee-oriented working environmentNumerous benefits such as flexible working hours, working from home, free parking, further training, health promotion, etc.A gross annual salary that takes your qualifications into account: at least € 49,000 (basis: 40 h/week)For more information, please visit our career website.For the St. Pölten University of Applied Sciences, the variety and diversity of its staff members is the key to innovation, success, and further development. Applications by qualified women are particularly welcome. In the case of equal suitability, we give precedence to applicants with special needs. We explicitly invite persons with a migration background to apply. We are looking forward to receiving your application!"
Cybersecurity Specialist,"Cybersecurity SpecialistFull Time (40h/w)Klosterneuburg (Vienna), Austria – Home Office Possible€ 42,500* gross/yearISTA is growing. Grow with us!The Institute of Science and Technology Austria (ISTA) is a growing international institute for conducting frontier research in mathematics, computer science, and the life and physical sciences. We recruit passionate professionals from all over the world and from all fields who support our goals of excellence in research and science management. Located on a beautiful campus on the outskirts of Vienna, we offer numerous opportunities for personal growth in a stable working environment.Your responsibilitiesWe are looking for a dedicated and meticulous cybersecurity specialist to join our growing team of Information Technology professionals. In this role you will operate independently and as part of a team to ensure our software, hardware, and related components are protected from cyber-attacks. You have strong IT skills and a deep understanding of computer/network vulnerabilities.Monitor our organization’s systems and networks for security breaches and investigate violations if they occur in a structured wayDevelop and apply security strategies for our systems, networks and IoT devicesConduct penetration testing to look for vulnerabilities in our environments before they can be exploitedPlan, deploy and maintain physical and logical firewalls to protect our infrastructureDocument configuration and security infrastructure strategiesYour profileIT/InfoSec/CyberSec or equivalent education and/or relevant work experienceStrong IT skills including knowledge on hardware, software and networksSome hands-on experience in the fields of network security, VPN and firewallsExperience with common tools and frameworks for penetration testing and vulnerability scanningFamiliarity with ISO2700X, NIST and other relevant security policies and frameworksDesire to self-educate on the ever-changing landscape of cyber hacking tacticsSkills of perception and QA, ability to identify vulnerabilities and overall issuesExcellent command of English (working language)Reliable team-player with good communication skillsYour benefitsEducation & trainingCafeteriaChildcareFree shuttle busMultiple health offersPension insuranceWe look forward to your application via our job portal!* This position comes with possible overpayment depending on education, qualification and work experience. ISTA processes your personal data in accordance with the law. For more information, please refer to www.ista.ac.at/data-protection.Institute of Science and Technology Austria (ISTA) | Am Campus 1 | 3400 Klosterneuburg | Austria, www.ista.ac.at"
Cyber Security Generalist ,"The future of banking is digital, and IT is the key to this change. Erste Digital is the digital enabler that drives innovative IT solutions for Erste Group, the leading banking group in CEE. Our service involves “run the bank” as well as “change the bank” activities. Our more than 2,000 IT experts and enthusiasts deliver best-in-class IT solutions and services to all Erste Group entities and by this directly to Erste Group’s more than 16 million customers. Are you ready to work for one of the most innovative and largest IT companies in the CEE region? Then hit the “apply now” button.Erste’s Cyber Defense Center (CDC) provides security services for business partners in Austria and CEE, with a strong focus on protecting IT and data assets. The CDC is performing a broad array of security activities and is responsible for maintaining a secure IT landscape, especially in the digital banking area of Erste. We are now looking for a full time Cyber Security Generalist to expand our team of experts to maintain a resilient security posture and ensure a secure journey to the cloud. A vibrant team and agile, savvy and multifunctional opportunities are waiting for you.Your TasksYou are keeping in touch with relevant stakeholders to understand their challenges and how security can supportYou are going to perform and facilitate security requirements engineering excercises to improve our security detection & response capabilitiesYou will be designing an efficient and sustainable reporting infrastructure which fits the need of interested stakeholders and business partnersYou will advise business partners to address the underlying security challenges raised by the digital transformation like cloud computing, mobile technologies, IoT and Digital / Zero trustYou will contribute to the implementation of relevant measures to fulfill upcoming security- and data privacy regulations which affect our digital servicesYour BackgroundYou have excellent theoretical and practical knowledge in Cyber Security solutions, methods, tools, and current development topicsYou have the ability to perform threat modelling and vulnerability assessment of processes, technologies and architectures, discover and articulate threats and risksYou are able to live by and propagate Security by Default and Security by Design principlesYou have experience with project management methodologies, especially agile principlesYou bring a sense for communication and moderation between different stakeholders and our security expertsYou are a business partner- service-, action oriented- and results driven personalityPrevious (Security) consulting experience is desirableKnowledge in digital banking and finance is appreciatedOur OfferA very diverse job in an interesting and dynamic field with excellent perspectives, the chance to take over responsibility for challenging group-wide projectsThe opportunity to work with a motivated, ambitious, multi-national team and to cooperate with many colleagues, functions, and units across the Erste Group in our regionWe will support your professional and personal developmentWe offer our employees individual remote work optionsDiscover and enjoy the benefits of Erste GroupThe minimum wage for this full-time position in accordance with the collective agreement with complete fulfillment of the functional profile is EUR 44.646,-- gross per year. But this is just a formality - we would be happy to talk about your actual salary in person!Erste Group considers the diversity of its employees as key to innovation and success. As employer we are proud to offer everyone equal chances, irrespective of age, skin colour, religious belief, gender, sexual orientation or origin."
Junior Information Security Officer ,"Die Porsche Holding Salzburg ist das größte und erfolgreichste Automobilhandelshaus Europas. Wir sind in 21 europäischen Ländern und weiteren Standorten in Südamerika, Malaysia, Singapur und Brunei im Automobilhandel tätig. Wir sehen uns als führenden Mobilitätsdienstleister und engagieren uns dabei im automobilen Service, dem Ersatzteilevertrieb und in der Finanzierung und Versicherung. Unser Fokus liegt auf den Konzernmarken Volkswagen PKW und Nutzfahrzeuge, Audi, SEAT, ŠKODA, Porsche, Bentley, Lamborghini, Bugatti sowie der Zweiradmarke Ducati.Ihre Aufgaben:Beratung der Fachbereiche und des Management in spezifischen InformationssicherheitsthemenMitwirkung an Informationssicherheitsstrategien, -standards und -richtlinienUnterstützung bei der Abwicklung von sicherheitsrelevanten ProjektenInitiierung und Kontrolle von InformationssicherheitsmaßnahmenSicherstellung des Bewusstseins und des allgemeinen Verständnisses für Risiken, Strategien und Kontrollen im Bereich der InformationssicherheitSie bringen mit:Grundkenntnisse der InformationssicherheitTechnisches Grundverständnis/ IT-Technische KenntnisseGrundkenntnisse im Projekt- und ProzessmanagementKommunikations- und Konfliktlösungsfähigkeit sowie PräsentationsfähigkeitWir bieten:Wir wissen: Ihr Einsatz ist wichtig für unseren Erfolg. Daher sehen wir ein sehr gutes Arbeitsklima, das Ihnen ein großes Maß an Eigenverantwortung ermöglicht, modern gestaltete Räumlichkeiten sowie flexible Arbeitszeiten als wichtige Bausteine für eine hervorragende Zusammenarbeit. Zudem bieten wir umfangreiche Gesundheits- und Sportangebote, ein Betriebsrestaurant und Cafeterias am Standort der Zentrale in Salzburg, interessante Weiterentwicklungsmöglichkeiten, einen Betriebskindergarten und die Möglichkeit mobil zu arbeiten. Selbstverständlich genießen Sie ebenfalls Mitarbeiterkonditionen beim Autokauf, bei der Finanzierung und für Service, Reparatur und Zubehör.Selbstverständlich erwartet Sie ein auf dem anzuwendenden Kollektivvertrag basierendes Gehalt, welches sich aus Ihrer individuellen Qualifikation und positionsrelevanten Berufserfahrung entsprechenden KV-Einstufung ergibt (Jahresbruttogehalt ab € 35.000,--). Es erfolgt eine marktadäquate Überzahlung.Wenn Sie darüber hinaus ein interessantes, herausforderndes Arbeitsumfeld schätzen, freuen wir uns auf Ihre aussagekräftigen Bewerbungsunterlagen."
Praktikum Network Security ,"A1 ist viel mehr als nur ein Telekommunikationsunternehmen. Als Teil der A1 Telekom Austria Group treiben wir die Digitalisierung in 7 Ländern mit innovativen Lösungen und neuen Geschäftsfeldern voran. Du bist auf der Suche nach einem Praktikum und möchtest gemeinsam mit uns die Zukunft gestalten, in der du leben willst? Dann bring dich mit all deinen Stärken ein und probiere Neues aus. Entwickle dich mit uns weiter. Make it happen. Auf den Punkt gebrachtPraktikum bei A1 - eine Win-Win-Situation! Kaffee holen kannst du woanders. Bei uns bist du ein vollwertiges Teammitglied. Wir gewinnen mit dir eine tatkräftige Unterstützung und du hast die Gelegenheit 6-12 Monate praktische Erfahrung zu sammeln und deine Fähigkeiten weiterzuentwickeln. Das Team Network Security ist verantwortlich für Architektur, Planung und Betrieb der A1 Security Technologien, sowie die Integration in die bestehenden Netz- und Servicearchitekturen. Die Koordination und Abstimmung mit anderen Fachbereichen, sowie Marktbeobachtung, Technologieevaluierungen und das Lieferantenmanagement sind dafür essentiell. Hauptaugenmerk liegt auf einem stabilen und qualitativ hochwertigen Betrieb aller Network Security Komponenten.Die Sicherheit des Unternehmens liegt uns am Herzen und wir arbeiten aktiv daran, diese zu erhalten und verbessern. Dafür suchen wir Verstärkung im Network Security Bereich, mit speziellen Augenmerk auf Firewalls.Dein Praktikum    Du übernimmst Betriebsagenden im Network Security Bereich mit Schwerpunkt Firewall und VPN.  Du koordinierst die laufenden Anpassungen von Security-Parametern und stimmst dich dazu mit internen und externen Partner:innen ab.  Du kümmerst dich selbständig um eine strukturierte Dokumentation der technischen und betrieblichen Themen rund um dein Aufgabengebiet.  Du arbeitest aktiv und intensiv mit deinen Kolleg:innen und anderen Teams zusammen. Du bist bei uns richtig, weil … du derzeit ein technisches Studium absolvierst.  du gute Kenntnisse in den Bereichen IP Netzwerk Technologien, VPN und Security hast und über Grundkenntnisse in Scripting oder Programmierung verfügst.  du gerne im Team arbeitest, deine Aufgaben aber auch selbständig und eigenverantwortlich erledigst.  du über gute Englischkenntnisse verfügst.  du auf Details achtest ohne den Gesamtüberblick zu verlieren. Besonders freuen wir uns über deine Bewerbung, wenn …  abwarten und Däumchen drehen nicht deins ist. Du denkst mit und ergreifst gern die Initiative.Wir bieten Dir die Chance, die Zukunft von Österreichs größtem Kommunikationsunternehmen aktiv mitzugestalten. Das kollektivvertragliche monatliche Mindestentgelt für dieses Praktikum beträgt EUR 2.452,95 brutto."
Mitarbeiter:in Kassa Greeter & Security ,"WER DU BIST  „Die Kassa ist für KundInnen die letzte Station bei uns. Für dich ist sie erst der Anfang.“Lass uns gleich zu Beginn übers Geld reden. Denn Geld definiert vieles, was wir von dir erwarten: Genauigkeit, Verantwortungsbewusstsein und wenn du gut mit Zahlen kannst, ist die Kassa möglicherweise der Platz, an dem du dich richtig wohl fühlst. Aber im Gegensatz zu den vielen KundInnen, mit denen du dich an der Kassa freundlich austauschen kannst, muss es nicht deine Endstation in unserem Einrichtungshaus sein. Ein Karriereweg bei IKEA ist keine Einbahnstraße. Darauf kannst du dich verlassen. So wie wir es auch bei dir tun werden.• Abgeschlossene Berufsausbildung,• Gutes Zahlenverständnis und Freude am Umgang mit Menschen• Gute Deutschkenntnisse• einen kühlen Kopf und jederzeit ein warmes Lächeln• einwandfreier Leumund• Mindestalter 18 Jahre   DU BIST VERANTWORTLICH FÜR  Ob vor, während oder nach dem Einkauf – IKEA Kunden:innen sollten immer die Erfahrung machen, dass unsere Unterstützung und unsere Services so gut sind wie unsere Produkte. Als Mitarbeiter:in an der Kassa liegt es in deiner Hand, dass die Kunden:innen unser Einrichtungshaus nicht nur mit einem Lächeln betreten, sondern auch mit einem Lächeln wieder verlassen. Und gerne wieder kommen.• Du trittst selbstbewusst auf und sorgst für die Einhaltung unserer Sicherheitsroutinen und machst auch unsere Kund:innen auf diese aufmerksam • Du gehst aktiv auf unsere Kund:innen zu und machst Werbung für unsere Scan & Pay App• Du unterstützt unsere Kund:innen an den Selbstbedienungskassen• Du beeinflusst mit deiner Freundlichkeit, dass Kund:innen uns gerne wieder besuchen• Du sorgst für Ordnung und Sauberkeit im gesamten Arbeitsbereich   ZUSAMMEN ALS TEAM  Bei IKEA gibt es mehr als 200 verschiedene Jobs, unterschiedliche Arbeitsbereiche und jeder Tag ist anders. Doch egal, wo du arbeitest, wir können dir eines versprechen: Ein Job bei uns ist mehr als nur ein Job.Ivan & Nadine und ihr Team, bestehend aus 37 Mitarbeiter:innen brauchen Unterstützung. Gemeinsam seid ihr für den Bereich Kassa verantwortlich. Wie alle Mitarbeiter:innen bei IKEA sorgt ihr zusammen für ein tolles Einkaufserlebnis für unsere Kund:innen.    Das Mindestentgelt für diese Position beträgt auf Basis einer Vollzeitbeschäftigung (38,5 Wochenstunden)  € 1.960,- brutto pro Monat.Arbeitszeiten: Flexibel jeden SamstagWir freuen uns ausdrücklich über Bewerbungen von Menschen mit Behinderungen als auch mit verschiedenen ethnischen Hintergründen.Gut zu wissen: Unser Auswahlprozess startet schon vor Ablauf der Bewerbungsfrist. Sobald wir geeignete Personen gefunden haben, schließen wir den Auswahlprozess ab. Sende uns also so bald als möglich dein Motivationsschreiben und deinen Lebenslauf mit allen relevanten Informationen, die wir über dich kennen sollten. Wir freuen uns auf deine Bewerbung! Wir suchen Menschen, die offen sind, schwedische Unternehmenskultur schätzen und Liebe zum Einrichten mitbringen. Wir achten darauf, dass unsere Mitarbeiter:innen bei uns wohlfühlen.Mehr zu unseren Vorteilen und Entwicklungsmöglichkeiten findest du hier:"
Security Operations Center Analyst – L3 ,"International business requires an international corporate philosophy. Are you open to new ideas and do you value cultural diversity? At Raiffeisen Bank International, we are pleased to have more than 16 million customers in 13 CEE countries. And our journey continues – with exciting new issues for us to tackle such as digitalisation and changing customer needs. Join us on our journey.Security Operations Center Analyst – L3 (f/m/x)RBI is fostering its Business for the next generation in Information & Cyber Security.As crucial part of the Group Raffeisenbank International Cyber Defense Center department this function develops detection and prevention mechanism to foster our digitalization journey and the business confidence of our customers.In this position you will be member of a group SOC Team. This includes providing effective security monitoring through triage, investigation, communication and reporting. You will be encouraged to conduct your own hunting investigations and create use cases and building tactical and strategic mitigation plans to increase the security posture. You will work together with IT and Security engineers to onboard bank products and the creation of the necessary cyber security use cases to protect them accordingly.What you can expect:Acting as L3 analyst on SOC investigationsProactively ‘hunt’ for potential threat actors on the network and provide recommendationsLead incident response activities within the SOC ensuring an appropriate and measured responseContinuously enhance Incident Response capabilitiesEnhance threat intelligence leveraging technology and information available from both internal and external sourcesPerform threat management, threat modeling, identify threat vectors and develop use cases for security monitoringAnalyzes and assesses damage to the data/infrastructure as a result of security incidents, examines available recovery tools and processes, and recommends solutionsProviding management oversight in identification, triaging and response to events/incidentsDevelop and maintain knowledge-base of network attacks, methodologies and trendsAssist in defining and implementing Operational Security related processes and proceduresSupport the onboarding process for new infrastructure and business applications within the whole RBI groupWhat you bring to the table:Expert knowledge in network security architecture concepts, application security, emerging IT and cybersecurity technologiesHands on experience with monitoring and detecting incidents in the Security Operations CenterDeep knowledge of development and maintenance of cyber security use-cases based on the anatomy of an attack.Strong understanding of MITRE ATT&CK framework, Cyber kill chains and other attack modelsAdvanced level of awareness of current attack vectorsManagement and Development of a SIEM toolKnowledge in CTI Platforms is an assetStrong coordination and excellent communication and presentation skills within an international environmentAbility for independent decision-making and issue resolutionA master’s degree in security/engineering, computer science or business information systems or adequate practical experienceExcellent command of written and spoken English and GermanVendor independent security certifications (e.g. CISA, CRISC, CISSP, CEH, ...) are an assetExperience in a large international banking environment is an assetWhat we offer:You’ll work in an international team at a leading bankYou’ll benefit from flexible working arrangements and determine your own work-life balanceYou’ll benefit from the very latest in tailored professional developmentYou’ll earn an appropriate salary starting at 47.000 gross p.a. excluding overtimeRBI AG is committed to creating a diverse environment and is proud to be an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to age, ethnicity, race or color, national origin, religion, political or other opinion, gender, sexual orientation or disability.We are looking forward to receiving your online application!https://jobs.rbinternational.com"
CTO & Co-Founder ,"If you enjoy tech leadership as well as conceptualizing and executing our technology strategy at Pluz Care, this is your role:Who We ArePluz Care offers a digital platform that connects customers with local pharmacies. Pluz delivers pharmaceutical and personal care products within one hour in Vienna. We help local pharmacies to expand their business and deliver a convenient delivery and digital consultation offering.We bring care closer to the customers. We do this by always acting in line with our values:Building pluz around the highest possible customer-centricity.Treating all stakeholders of plus with the highest possible degree of fairness & kindnessEmphasising convenience throughout the whole customer journey from tech to people.Why join us?We are creating a team of hands-on game-changers. If you want to work in an exciting and performance-driven environment where you can learn a lot, this is the place for you.Highly independent and autonomous working style with a lot of flexibility.We live a highly value-based, trust-driven and transparent company culture.Our company supports (in the beginning Austrian) pharmacies to become future-proof and expand their services.As a CTO and co-founder you will also get substantial shares of Pluz Care.TasksIf you enjoy tech leadership as well as conceptualizing and executing our technology strategy at Pluz Care, this is your role:You maintain and develop the Pluz platform with a hands-on attitudeLead all technical aspects on a strategic and implementation levelTake responsibility for maintaining and scaling our technical infrastructure as the product growsEnsure that all aspects of engineering and product development are aligned - from architecture, infrastructure and security to usability, quality assurance and analyticsManage and negotiate our partnerships with market leading SaaS companiesYou grow and lead an excellent engineering teamRequirementsRelevant experience (5+ years) building web applications with modern web frameworks (Rails is a plus)Experience working with cloud hosting providers and basic DevOps principlesHands-on experience leading a team and product from prototype through different growth stages.The experience and confidence to make technical decisions, identify and overcome technical challenges and prioritise relentlessly.Experience with SEO, SEM and website analytics is a plusAbility to communicate technical concepts to product managers, investors and non-technical audiences.Domain experience in e-commerce, q-commerce or marketplaces is a plusFluent in English, German is a plus.Last but not least: willingness to deliver, learn, try & fail, challenge and be challenged.How To ApplyWe would love to hear from you! Make sure to include your CV and/or LinkedIn and send through a text/voice/video file stating why you want to work with us (we love to get content that surprises us). No motivation letter is required (we are no fans to write them ourselves).Remuneration: besides the salary (min. € 40,000), co-founders earn a share of the company.Please note that for this position we only accept applicants with a valid working permit in the EU."
Global Service Team Member: SAP R2P ,"Job description:PositionGobal Service Team Member: SAP R2P (m/f/d) LocationSappi Europe - Information Technology / SAP DomainGratkorn Mill (Austria) or Maastricht Mill (Netherlands) Job Description  Member of the Global SAP R2P team, leverage strong functional, operational knowledge of the related business processes involving request-to-pay and other related procurement processes to support end-user use of the system, and perform initial diagnoses of system issues   Support major projects, working with corresponding cross functional business departments and with the Team Lead, understand functional and business roadmaps deployment schedules   Works closely with various business partners including Global Process Owners, Business Process Engineers and IT peers to help define and test solutions in support of prioritized business initiatives across the SAP system and related integrated systems   Assist with maintaining and implementing Request to Pay systems   Coordinate with local and remote functional, SAP and development teams to solve issues   Assist with evaluating alternatives and performing cost benefit analysis and recommend solutions that minimise cost commensurate with acceptable risks   Develops relationships with internal customers by being proactive, displaying a high level of knowledge of the business and by providing reliable system support and business process recommendations   Understand the mechanics of the Procurement business processes all business areas   Provide informed recommendations on various SAP Solutions focusing on Request to Pay, SAP Material Management modules, Ariba,…   Assist in the translation of business requirements and project scope into solutions in collaboration with both internal and external team members and business stakeholders   Works collaboratively with business partners to help identify opportunities to streamline or automate their operations   Manage multiple priorities to maintain a balance between day to day operations, projects and strategic development and to ensure deadlines are met   Review code and system configurations to develop a deep understanding of the systems solution that supports the corresponding business processes   Ability to perform first-level debugging of systems to analyse and resolve issues   Troubleshoot and triage problem reports, resolve, and escalate as required   Helps ensure data remains complete, accurate and valid during its input, update and storage   Supports and aligns with global IT vision, ensures that IT activities support global vision   Participate in global meetings to review application performance and project status   Participate functional testing across multiple SAP modules and integration with internal or external systems, assists with building alignment with business to perform user acceptance testing, and acquiring signoff   Partner with teams such as Finance, Logistics and other IT and business subject matter experts to recommend proper governance steps/procedures to ensure full compliance of audit, controls and security requirements   As directed by Team Lead, lead production deployment, cutover or cloud migration activities with infrastructure team   Other duties as assigned by R2P Team Lead   Your Profile  Minimum: Bachelor’s degree in Information Technology or related field   3-5 years’ experience with SAP Material Management and various Procurement tools   Demonstrates a working knowledge of the SAP HANA Material Management module, including customization concepts, and areas of integration with S4 HANA Finance   SAP Certification in SAP MM or S4HANA Request to Pay an added advantage   Familiarity with programming methods, SAP user-exits and working knowledge of debugging, or ability to learn   Experience in working within international global teams an added advantage   Excellent communication, problem solving, and customer service skills are essential   The ability to express complex concepts effectively to the business, yet technical enough to have a detailed review of designs and approaches with technical resources   The ability to work well with people from many different disciplines and cultures with    varying degrees of IT experience   Experience with Ariba Business Network an added advantage   Experience in AP processes and scanning solution (Readsoft) is an advantage   Experience with SAP PM is desirable   Timelineas soon as possible In the case of a replacement at the Gratkorn Mill in Austria, we offer you an annual gross remuneration according to Austrian CLA.Depending on qualifications and/or special professional experience, a higher salary may be agreed upon.  Closing date for applicationsAll applications will be treated as strictly confidential.Please submit your application including motivation letter not later than 6th May 2022via our application tracking system in our Sappi career portal www.sappi.com/careers-sappi-europe   We offer:In the case of a replacement at the Gratkorn Mill in Austria, we offer you an annual gross remuneration according to Austrian CLA. Depending on qualifications and/or special professional experience, a higher salary may be agreed upon."
