,features,score
0,analyst,0.6658853739291496
1,security,0.2550602831433644
2,information,0.09742381203708995
3,soc,0.056367328573401876
4,threat,0.04753009087727776
5,cyber,0.041055011971863425
6,operations,0.03974491158371887
7,senior,0.03694079500165078
8,honeywell,0.030042859306559675
9,2k,0.027307439428237865
10,detection,0.02671870543827019
11,fortinet,0.02671870543827019
12,automotive,0.02655663297386006
13,monitoring,0.02526934362915527
14,connectivity,0.023599209450755745
15,te,0.023599209450755745
16,ict,0.02326896317571491
17,center,0.023139423155754766
18,cybersecurity,0.02149416047542294
19,l3,0.020423372417733694
